"CVE","vulnerabilityName","Description"
"CVE-2023-7028","GitLab Community and Enterprise Editions Improper Access Control Vulnerability","An issue has been discovered in GitLab CE/EE affecting all versions from 16.1 prior to 16.1.6, 16.2 prior to 16.2.9, 16.3 prior to 16.3.7, 16.4 prior to 16.4.5, 16.5 prior to 16.5.6, 16.6 prior to 16.6.4, and 16.7 prior to 16.7.2 in which user account password reset emails could be delivered to an unverified email address."
"CVE-2024-29988","Microsoft SmartScreen Prompt Security Feature Bypass Vulnerability","SmartScreen Prompt Security Feature Bypass Vulnerability"
"CVE-2024-4040","CrushFTP VFS Sandbox Escape Vulnerability","A server side template injection vulnerability in CrushFTP in all versions before 10.7.1 and 11.1.0 on all platforms allows unauthenticated remote attackers to read files from the filesystem outside of the VFS Sandbox, bypass authentication to gain administrative access, and perform remote code execution on the server.
"
"CVE-2024-20359","Cisco ASA and FTD Privilege Escalation Vulnerability","A vulnerability in a legacy capability that allowed for the preloading of VPN clients and plug-ins and that has been available in Cisco Adaptive Security Appliance (ASA) Software and Cisco Firepower Threat Defense (FTD) Software could allow an authenticated, local attacker to execute arbitrary code with root-level privileges. Administrator-level privileges are required to exploit this vulnerability.
 This vulnerability is due to improper validation of a file when it is read from system flash memory. An attacker could exploit this vulnerability by copying a crafted file to the disk0: file system of an affected device. A successful exploit could allow the attacker to execute arbitrary code on the affected device after the next reload of the device, which could alter system behavior. Because the injected code could persist across device reboots, Cisco has raised the Security Impact Rating (SIR) of this advisory from Medium to High."
"CVE-2024-20353","Cisco ASA and FTD Denial of Service Vulnerability","A vulnerability in the management and VPN web servers for Cisco Adaptive Security Appliance (ASA) Software and Cisco Firepower Threat Defense (FTD) Software could allow an unauthenticated, remote attacker to cause the device to reload unexpectedly, resulting in a denial of service (DoS) condition.
 This vulnerability is due to incomplete error checking when parsing an HTTP header. An attacker could exploit this vulnerability by sending a crafted HTTP request to a targeted web server on a device. A successful exploit could allow the attacker to cause a DoS condition when the device reloads."
"CVE-2022-38028","Microsoft Windows Print Spooler Privilege Escalation Vulnerability ","Windows Print Spooler Elevation of Privilege Vulnerability"
"CVE-2024-3400","Palo Alto Networks PAN-OS Command Injection Vulnerability","A command injection as a result of arbitrary file creation vulnerability in the GlobalProtect feature of Palo Alto Networks PAN-OS software for specific PAN-OS versions and distinct feature configurations may enable an unauthenticated attacker to execute arbitrary code with root privileges on the firewall.

Cloud NGFW, Panorama appliances, and Prisma Access are not impacted by this vulnerability."
"CVE-2024-3273","D-Link Multiple NAS Devices Command Injection Vulnerability","** UNSUPPORTED WHEN ASSIGNED ** A vulnerability, which was classified as critical, was found in D-Link DNS-320L, DNS-325, DNS-327L and DNS-340L up to 20240403. Affected is an unknown function of the file /cgi-bin/nas_sharing.cgi of the component HTTP GET Request Handler. The manipulation of the argument system leads to command injection. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-259284. NOTE: This vulnerability only affects products that are no longer supported by the maintainer. NOTE: Vendor was contacted early and confirmed immediately that the product is end-of-life. It should be retired and replaced."
"CVE-2024-3272","D-Link Multiple NAS Devices Use of Hard-Coded Credentials Vulnerability","** UNSUPPORTED WHEN ASSIGNED ** A vulnerability, which was classified as very critical, has been found in D-Link DNS-320L, DNS-325, DNS-327L and DNS-340L up to 20240403. This issue affects some unknown processing of the file /cgi-bin/nas_sharing.cgi of the component HTTP GET Request Handler. The manipulation of the argument user with the input messagebus leads to hard-coded credentials. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-259283. NOTE: This vulnerability only affects products that are no longer supported by the maintainer. NOTE: Vendor was contacted early and confirmed immediately that the product is end-of-life. It should be retired and replaced."
"CVE-2024-29748","Android Pixel Privilege Escalation Vulnerability","there is a possible way to bypass  due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation."
"CVE-2024-29745","Android Pixel Information Disclosure Vulnerability","there is a possible Information Disclosure due to uninitialized data. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation."
"CVE-2023-24955","Microsoft SharePoint Server Code Injection Vulnerability","Microsoft SharePoint Server Remote Code Execution Vulnerability"
"CVE-2019-7256","Nice Linear eMerge E3-Series OS Command Injection Vulnerability","Linear eMerge E3-Series devices allow Command Injections."
"CVE-2021-44529","Ivanti Endpoint Manager Cloud Service Appliance (EPM CSA) Code Injection Vulnerability ","A code injection vulnerability in the Ivanti EPM Cloud Services Appliance (CSA) allows an unauthenticated user to execute arbitrary code with limited permissions (nobody)."
"CVE-2023-48788","Fortinet FortiClient EMS SQL Injection Vulnerability","A improper neutralization of special elements used in an sql command ('sql injection') in Fortinet FortiClientEMS version 7.2.0 through 7.2.2, FortiClientEMS 7.0.1 through 7.0.10 allows attacker to execute unauthorized code or commands via specially crafted packets."
"CVE-2024-27198","JetBrains TeamCity Authentication Bypass Vulnerability","In JetBrains TeamCity before 2023.11.4 authentication bypass allowing to perform admin actions was possible"
"CVE-2024-23225","Apple Multiple Products Memory Corruption Vulnerability","A memory corruption issue was addressed with improved validation. This issue is fixed in iOS 16.7.6 and iPadOS 16.7.6, iOS 17.4 and iPadOS 17.4. An attacker with arbitrary kernel read and write capability may be able to bypass kernel memory protections. Apple is aware of a report that this issue may have been exploited."
"CVE-2024-23296","Apple Multiple Products Memory Corruption Vulnerability","A memory corruption issue was addressed with improved validation. This issue is fixed in iOS 17.4 and iPadOS 17.4. An attacker with arbitrary kernel read and write capability may be able to bypass kernel memory protections. Apple is aware of a report that this issue may have been exploited."
"CVE-2023-21237","Android Pixel Information Disclosure Vulnerability ","In applyRemoteView of NotificationContentInflater.java, there is a possible way to hide foreground service notification due to misleading or insufficient UI. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-13Android ID: A-251586912"
"CVE-2021-36380","Sunhillo SureLine OS Command Injection Vulnerablity","Sunhillo SureLine before 8.7.0.1.1 allows Unauthenticated OS Command Injection via shell metacharacters in ipAddr or dnsAddr /cgi/networkDiag.cgi."
"CVE-2024-21338","Microsoft Windows Kernel Exposed IOCTL with Insufficient Access Control Vulnerability","Windows Kernel Elevation of Privilege Vulnerability"
"CVE-2023-29360","Microsoft Streaming Service Untrusted Pointer Dereference Vulnerability","Microsoft Streaming Service Elevation of Privilege Vulnerability"
"CVE-2024-1709","ConnectWise ScreenConnect Authentication Bypass Vulnerability","ConnectWise ScreenConnect 23.9.7 and prior are affected by an Authentication Bypass Using an Alternate Path or Channel

 vulnerability, which may allow an attacker direct access to confidential information or 

critical systems.

"
"CVE-2020-3259","Cisco ASA and FTD Information Disclosure Vulnerability","A vulnerability in the web services interface of Cisco Adaptive Security Appliance (ASA) Software and Cisco Firepower Threat Defense (FTD) Software could allow an unauthenticated, remote attacker to retrieve memory contents on an affected device, which could lead to the disclosure of confidential information. The vulnerability is due to a buffer tracking issue when the software parses invalid URLs that are requested from the web services interface. An attacker could exploit this vulnerability by sending a crafted GET request to the web services interface. A successful exploit could allow the attacker to retrieve memory contents, which could lead to the disclosure of confidential information. Note: This vulnerability affects only specific AnyConnect and WebVPN configurations. For more information, see the Vulnerable Products section."
"CVE-2024-21410","Microsoft Exchange Server Privilege Escalation Vulnerability","Microsoft Exchange Server Elevation of Privilege Vulnerability"
"CVE-2024-21412","Microsoft Windows Internet Shortcut Files Security Feature Bypass Vulnerability","Internet Shortcut Files Security Feature Bypass Vulnerability"
"CVE-2024-21351","Microsoft Windows SmartScreen Security Feature Bypass Vulnerability","Windows SmartScreen Security Feature Bypass Vulnerability"
"CVE-2023-43770","Roundcube Webmail Persistent Cross-Site Scripting (XSS) Vulnerability","Roundcube before 1.4.14, 1.5.x before 1.5.4, and 1.6.x before 1.6.3 allows XSS via text/plain e-mail messages with crafted links because of program/lib/Roundcube/rcube_string_replacer.php behavior."
"CVE-2024-21762","Fortinet FortiOS Out-of-Bound Write Vulnerability","A out-of-bounds write in Fortinet FortiOS versions 7.4.0 through 7.4.2, 7.2.0 through 7.2.6, 7.0.0 through 7.0.13, 6.4.0 through 6.4.14, 6.2.0 through 6.2.15, 6.0.0 through 6.0.17, FortiProxy versions 7.4.0 through 7.4.2, 7.2.0 through 7.2.8, 7.0.0 through 7.0.14, 2.0.0 through 2.0.13, 1.2.0 through 1.2.13, 1.1.0 through 1.1.6, 1.0.0 through 1.0.7 allows attacker to execute unauthorized code or commands via specifically crafted requests"
